fid,Facility,X,Y,Province,Hydro_MW,NHN_Work_U,GRanD_ID,HydroLAKES_ID,GINDEX,GINDEX_CONUS,Basin_Note,WECC_ADS_2032,Intake_Flow_Rate,Type,Water_License
162,Upper Stave River,-122.3502994,49.5660467,British Columbia,33,08MHBX1,,,7196,,,,43.80609,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65752643
166,Wahleach,-121.6806648,49.236626,British Columbia,65,08MG0X2,36,101750,6147,,,,14.19804,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981170
167,Walden North,-121.98331,50.6605121,British Columbia,16,08MEAX0,,,10015,,,,42.4752,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=55807626
168,Walter Hardman,-118.06001,50.8139369,British Columbia,8,08NE002,,945309,10750,95638,CRB,,10.50553,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44980524
169,Waneta,-117.6128674,49.0041477,British Columbia,493.2,08NEB00,289,102399,5475,88683,CRB,,223.98589,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44979578
170,Waneta Expansion,-117.6159934,49.004675,British Columbia,335,08NEB00,289,102399,5475,88683,CRB,,626,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62574575
171,Waterton Hydro,-113.6728886,49.32913432,Alberta,3,05AD000,284,101569,6562,,,X,,,
175,Whatshan,-118.0717572,49.91037469,British Columbia,54,08NEA00,273,7974,8639,92855,CRB,,40.91778,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981014
176,Whistler,-122.9457523,50.1062082,British Columbia,7.6,,,,,,,X,,,
180,Zeballos Lake,-126.7796544,50.0535206,British Columbia,23,08HE0X1,,99804,8569,,,,27.9885,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=110523743
182,Boulder Creek,-123.4052007,50.63552003,British Columbia,25.3,08MG001,,,10357,,,,11.3,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=67577691
183,Box Canyon,-123.3935594,49.58502142,British Columbia,15,08GABX1,,,7540,,,,3.96,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65575078
186,Canoe Creek Hydro,-125.3955724,49.1769186,British Columbia,6,08HC0X1,,,6117,,,,1.99881,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44979529
187,Castle Creek,-120.191003,53.11044783,British Columbia,6,08KA002,,,17070,,,,4.53069,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44983854
190,Culliton Creek,-123.1598934,49.8771816,British Columbia,15,08GABX1,,,8247,,,,7.5,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=89791863
191,Dasque,-128.918606,54.38092487,British Columbia,12,08EGBX1,,,20520,,X,,,,
192,Doran Taylor,-125.2755331,49.2964269,British Columbia,6,08HB001,,977368,6468,,,,1.09982,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45046819
194,Haa-ak-suuk Creek Hydro,-125.3836702,49.2479229,British Columbia,6,08HC0X1,,,6468,,,X,,,
195,Hauer Creek,-119.4561833,52.9341667,British Columbia,2,08KA002,,,17076,,,,0.99942,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=64834564
196,Jamie Creek,-123.05682,50.8282104,British Columbia,21,08MEAX0,,,10359,,,,5.6,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=56776307
197,Jimmie Creek (Upper Toba Valley),-124.0257331,50.60523116,British Columbia,62,08GC0X0,,,10000,,,,15.65,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=85623169
198,Lorenzetta Creek,-121.6224562,49.31702877,British Columbia,3,08MG0X2,,,6851,,,X,,,
199,Marion 3 Creek,-125.3568773,49.23427538,British Columbia,5,08HC0X1,,978858,6117,,,,1.39109,run-of-river?,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=71743286
200,McIntosh Creek,-120.375396,53.368676,British Columbia,1,08KA0X1,,,17772,,,X,,,
201,McLymont Creek,-130.7974519,56.6871973,British Columbia,66,08CGC00,,,27544,,X,,,,
203,Middle,-128.8880661,54.37865735,British Columbia,8,08EGBX1,,,20520,,X,,,,
