id,left,top,right,bottom,lon,lat,area,areatotal,areatotal2,GINDEX,DSIG,OUTLETG,MASK,NLDAS_ID
26255,-114.750000000000000,50.250000000000000,-114.625000000000000,50.125000000000000,-114.687500000000000,50.187500000000000,123705207.892040491104126,45080000.000000000000000,123705207.892040491104126,9018,9371,18303,1,x219y26
26256,-114.750000000000000,50.125000000000000,-114.625000000000000,50.000000000000000,-114.687500000000000,50.062500000000000,124028693.084650665521622,68260000.000000000000000,124028693.084650665521622,8666,8667,18303,1,x219y25
26257,-114.750000000000000,50.000000000000000,-114.625000000000000,49.875000000000000,-114.687500000000000,49.937500000000000,124351587.944683507084846,45330000.000000000000000,124351587.944683507084846,8314,8315,18303,1,x219y24
26347,-114.625000000000000,53.750000000000000,-114.500000000000000,53.625000000000000,-114.562500000000000,53.687500000000000,114414274.299509644508362,474930000.000000000000000,458335855.863210678100586,18875,18876,18303,1,x220y54
26348,-114.625000000000000,53.625000000000000,-114.500000000000000,53.500000000000000,-114.562500000000000,53.562500000000000,114753653.632095709443092,307800000.000000000000000,229507307.264191418886185,18523,18524,18303,1,x220y53
26349,-114.625000000000000,53.500000000000000,-114.500000000000000,53.375000000000000,-114.562500000000000,53.437500000000000,115092486.778018191456795,107440000.000000000000000,115092486.778018191456795,18171,17819,18303,1,x220y52
26350,-114.625000000000000,53.375000000000000,-114.500000000000000,53.250000000000000,-114.562500000000000,53.312500000000000,115430772.124530613422394,22745450000.000000000000000,20950126838.451416015625000,17819,17820,18303,1,x220y51
26351,-114.625000000000000,53.250000000000000,-114.500000000000000,53.125000000000000,-114.562500000000000,53.187500000000000,115768508.061511665582657,368740000.000000000000000,115768508.061511665582657,17467,17466,18303,1,x220y50
26352,-114.625000000000000,53.125000000000000,-114.500000000000000,53.000000000000000,-114.562500000000000,53.062500000000000,116105692.981484830379486,408160000.000000000000000,465096036.522049188613892,17115,17466,18303,1,x220y49
26353,-114.625000000000000,53.000000000000000,-114.500000000000000,52.875000000000000,-114.562500000000000,52.937500000000000,116442325.279539749026299,104010000.000000000000000,116442325.279539749026299,16763,17115,18303,1,x220y48
26354,-114.625000000000000,52.875000000000000,-114.500000000000000,52.750000000000000,-114.562500000000000,52.812500000000000,116778403.353440448641777,135480000.000000000000000,116778403.353440448641777,16411,16059,18303,1,x220y47
26355,-114.625000000000000,52.750000000000000,-114.500000000000000,52.625000000000000,-114.562500000000000,52.687500000000000,117113925.603566139936447,435230000.000000000000000,467784657.914013266563416,16059,15708,18303,1,x220y46
26356,-114.625000000000000,52.625000000000000,-114.500000000000000,52.500000000000000,-114.562500000000000,52.562500000000000,117448890.432960584759712,297770000.000000000000000,234897780.865921169519424,15707,15708,18303,1,x220y45
26357,-114.625000000000000,52.500000000000000,-114.500000000000000,52.375000000000000,-114.562500000000000,52.437500000000000,117783296.247302532196045,437620000.000000000000000,117783296.247302532196045,15355,15004,18303,1,x220y44
26358,-114.625000000000000,52.375000000000000,-114.500000000000000,52.250000000000000,-114.562500000000000,52.312500000000000,118117141.454945027828217,678730000.000000000000000,825817331.759296536445618,15003,15004,18303,1,x220y43
26359,-114.625000000000000,52.250000000000000,-114.500000000000000,52.125000000000000,-114.562500000000000,52.187500000000000,118450424.466895774006844,126410000.000000000000000,118450424.466895774006844,14651,14300,18303,1,x220y42
26360,-114.625000000000000,52.125000000000000,-114.500000000000000,52.000000000000000,-114.562500000000000,52.062500000000000,118783143.696856424212456,389330000.000000000000000,237566287.393712848424911,14299,14300,18303,1,x220y41
26361,-114.625000000000000,52.000000000000000,-114.500000000000000,51.875000000000000,-114.562500000000000,51.937500000000000,119115297.561183303594589,4521860000.000000000000000,5029002010.782879829406738,13947,13948,18303,1,x220y40
26362,-114.625000000000000,51.875000000000000,-114.500000000000000,51.750000000000000,-114.562500000000000,51.812500000000000,119446884.478956177830696,326780000.000000000000000,119446884.478956177830696,13595,13947,18303,1,x220y39
26363,-114.625000000000000,51.750000000000000,-114.500000000000000,51.625000000000000,-114.562500000000000,51.687500000000000,119777902.871938988566399,822370000.000000119209290,721309288.553494572639465,13243,13596,18303,1,x220y38
26364,-114.625000000000000,51.625000000000000,-114.500000000000000,51.500000000000000,-114.562500000000000,51.562500000000000,120108351.164599448442459,718020000.000000000000000,601531385.681555628776550,12891,13243,18303,1,x220y37
26365,-114.625000000000000,51.500000000000000,-114.500000000000000,51.375000000000000,-114.562500000000000,51.437500000000000,120438227.784118935465813,163309999.999999970197678,120438227.784118935465813,12539,12540,18303,1,x220y36
26366,-114.625000000000000,51.375000000000000,-114.500000000000000,51.250000000000000,-114.562500000000000,51.312500000000000,120767531.160402297973633,84260000.000000000000000,241535062.320804595947266,12187,11835,18303,1,x220y35
26367,-114.625000000000000,51.250000000000000,-114.500000000000000,51.125000000000000,-114.562500000000000,51.187500000000000,121096259.726087644696236,7441580000.000000000000000,7629324463.836854934692383,11835,11836,18303,1,x220y34
